timestamp,target,MAE,RMSE,R2,train_rows,test_rows,model_path
20260427_0414,pm2_5,1.1163186106689083,1.8509117110281899,0.9450115094049701,408,73,models\xgb_pm2_5_20260427_0414.pkl
20260427_0414,pm10,4.035377962875948,6.5962592279780505,0.9240912173513408,408,73,models\xgb_pm10_20260427_0414.pkl
20260501_1058,pm2_5,0.9773044171035741,1.6895681441744443,0.9535711218048261,410,73,models/xgb_pm2_5_20260501_1058.pkl
20260501_1058,pm10,3.8496138992193467,6.209185892087418,0.9338903860989594,410,73,models/xgb_pm10_20260501_1058.pkl
20260502_0746,pm2_5,1.0433607722707714,1.7179329304237447,0.9520120837646887,411,73,models/xgb_pm2_5_20260502_0746.pkl
20260502_0746,pm10,4.304502685175278,6.8920580719624605,0.9227603270864452,411,73,models/xgb_pm10_20260502_0746.pkl
20260503_0803,pm2_5,1.1270608164585525,1.8695338905168282,0.9431738808869548,412,73,models/xgb_pm2_5_20260503_0803.pkl
20260503_0803,pm10,4.791760717824532,8.35346720758506,0.8863743500665882,412,73,models/xgb_pm10_20260503_0803.pkl
20260504_0831,pm2_5,1.0225506842045655,1.6835074707823692,0.9584227832301951,413,73,models/xgb_pm2_5_20260504_0831.pkl
20260504_0831,pm10,6.547159547384835,16.660919218013255,0.7331966488298416,413,73,models/xgb_pm10_20260504_0831.pkl
20260505_0812,pm2_5,1.1008366613416694,1.8503117125969497,0.9509785621934037,413,74,models/xgb_pm2_5_20260505_0812.pkl
20260505_0812,pm10,6.785465036569774,16.785028933246856,0.7458570244448401,413,74,models/xgb_pm10_20260505_0812.pkl
20260507_0836,pm2_5,1.174260043525123,1.911008529344417,0.9472785023756582,415,74,models/xgb_pm2_5_20260507_0836.pkl
20260507_0836,pm10,6.4408223143569,16.31780036440706,0.7598601048564311,415,74,models/xgb_pm10_20260507_0836.pkl
20260508_0744,pm2_5,1.1821100409682443,1.8747398346077822,0.9491698736756885,416,74,models/xgb_pm2_5_20260508_0744.pkl
20260508_0744,pm10,6.637653953391871,16.544817468572802,0.7546130481676865,416,74,models/xgb_pm10_20260508_0744.pkl
20260509_0758,pm2_5,1.2163005419321602,1.946573119410854,0.9452365277663641,417,74,models/xgb_pm2_5_20260509_0758.pkl
20260509_0758,pm10,6.482361760296981,16.285915909223505,0.7633850406428324,417,74,models/xgb_pm10_20260509_0758.pkl
20260510_0809,pm2_5,1.1602977978932603,1.8989583591607062,0.9481073111617686,418,74,models/xgb_pm2_5_20260510_0809.pkl
20260510_0809,pm10,6.512890848955953,16.68704689347691,0.750874260091122,418,74,models/xgb_pm10_20260510_0809.pkl
20260511_0942,pm2_5,1.1555029339260525,1.876490260212132,0.9494665059584266,419,74,models/xgb_pm2_5_20260511_0942.pkl
20260511_0942,pm10,6.305662730219845,15.993907299953444,0.7693199856963597,419,74,models/xgb_pm10_20260511_0942.pkl
20260512_0842,pm2_5,1.143637506555628,1.864190629471619,0.9494719219220018,419,75,models/xgb_pm2_5_20260512_0842.pkl
20260512_0842,pm10,6.232659597891351,15.887212821882292,0.7693117312458763,419,75,models/xgb_pm10_20260512_0842.pkl
20260513_0846,pm2_5,1.1697554976851852,1.7938539929785156,0.9533208165608394,420,75,models/xgb_pm2_5_20260513_0846.pkl
20260513_0846,pm10,6.3788964267306865,16.244239966873746,0.7579335181428797,420,75,models/xgb_pm10_20260513_0846.pkl
20260514_0839,pm2_5,1.281988490069354,1.9926920918945974,0.9441696721764784,421,75,models/xgb_pm2_5_20260514_0839.pkl
20260514_0839,pm10,6.968554041544598,17.554417338044047,0.7221380368422315,421,75,models/xgb_pm10_20260514_0839.pkl
20260515_0850,pm2_5,1.1929846745243777,1.894388254247004,0.9510076056698884,422,75,models/xgb_pm2_5_20260515_0850.pkl
20260515_0850,pm10,6.8514395904541034,17.18774126945187,0.7356589784052034,422,75,models/xgb_pm10_20260515_0850.pkl
20260516_0806,pm2_5,1.274769410309968,1.983290659786962,0.946552435227816,423,75,models/xgb_pm2_5_20260516_0806.pkl
20260516_0806,pm10,6.92636396959093,17.034425148613522,0.7399565610643797,423,75,models/xgb_pm10_20260516_0806.pkl
20260517_0823,pm2_5,1.3091434735898617,1.9889685168296813,0.9462460124652012,424,75,models/xgb_pm2_5_20260517_0823.pkl
20260517_0823,pm10,6.509548215512877,16.448220761517746,0.7572500333909913,424,75,models/xgb_pm10_20260517_0823.pkl
20260518_1006,pm2_5,1.3408033814606846,2.014331460602669,0.9449484973232726,425,75,models/xgb_pm2_5_20260518_1006.pkl
20260518_1006,pm10,6.294417254977757,16.052581175573994,0.7681645364919268,425,75,models/xgb_pm10_20260518_1006.pkl
20260519_0944,pm2_5,1.3265086168434188,2.0012481713541823,0.9452540465423256,425,76,models/xgb_pm2_5_20260519_0944.pkl
20260519_0944,pm10,6.230954309095417,15.947515359809074,0.7684548111976826,425,76,models/xgb_pm10_20260519_0944.pkl
20260520_0936,pm2_5,1.1941051937683285,1.9133954662818486,0.9491505213872897,426,76,models/xgb_pm2_5_20260520_0936.pkl
20260520_0936,pm10,6.842103674258407,17.122362627247337,0.7287187187236233,426,76,models/xgb_pm10_20260520_0936.pkl
20260521_0942,pm2_5,1.2577625980154115,1.9088356652952412,0.9494430043402309,427,76,models/xgb_pm2_5_20260521_0942.pkl
20260521_0942,pm10,6.445937109272385,16.730092673231916,0.7412976605582319,427,76,models/xgb_pm10_20260521_0942.pkl
20260522_0926,pm2_5,1.3058825504012972,1.9569758611238397,0.9480678327475213,428,76,models/xgb_pm2_5_20260522_0926.pkl
20260522_0926,pm10,6.95624794541744,17.47506437030332,0.7253534044621417,428,76,models/xgb_pm10_20260522_0926.pkl
20260523_0821,pm2_5,1.2929917823501498,1.9454834309000957,0.9498428227537165,429,76,models/xgb_pm2_5_20260523_0821.pkl
20260523_0821,pm10,6.003610754291915,16.60090973383577,0.7580443533929884,429,76,models/xgb_pm10_20260523_0821.pkl
20260524_0830,pm2_5,1.2411279748057762,2.051138193080037,0.9438689115243799,430,76,models/xgb_pm2_5_20260524_0830.pkl
20260524_0830,pm10,6.317619678430392,16.26694182433136,0.7692165581910241,430,76,models/xgb_pm10_20260524_0830.pkl
20260525_1008,pm2_5,1.2521197053433153,2.0516144388537993,0.9431072848934031,430,77,models/xgb_pm2_5_20260525_1008.pkl
20260525_1008,pm10,6.33460148402623,16.184312622723873,0.7685830811025838,430,77,models/xgb_pm10_20260525_1008.pkl
20260526_0958,pm2_5,1.2962246579697296,2.077999830878306,0.9416934212539622,431,77,models/xgb_pm2_5_20260526_0958.pkl
20260526_0958,pm10,6.485433477756782,16.440391429654664,0.7610314684833284,431,77,models/xgb_pm10_20260526_0958.pkl
20260527_0952,pm2_5,1.2175502812879597,1.9004491867478763,0.950506390080239,432,77,models/xgb_pm2_5_20260527_0952.pkl
20260527_0952,pm10,6.396264487702783,16.96917759374901,0.7448847548577917,432,77,models/xgb_pm10_20260527_0952.pkl
20260528_1004,pm2_5,1.138885115200995,1.8604873289798778,0.9494082889124911,433,77,models/xgb_pm2_5_20260528_1004.pkl
20260528_1004,pm10,5.884628351495038,15.777414034546805,0.774550794414161,433,77,models/xgb_pm10_20260528_1004.pkl
20260529_0959,pm2_5,1.2409345720409486,1.9215705872603543,0.9349585544567915,434,77,models/xgb_pm2_5_20260529_0959.pkl
20260529_0959,pm10,5.9598205098514105,17.305159571448588,0.7016217551644777,434,77,models/xgb_pm10_20260529_0959.pkl
20260530_0829,pm2_5,1.2087515623194487,1.866102209010768,0.9380577994427759,435,77,models/xgb_pm2_5_20260530_0829.pkl
20260530_0829,pm10,7.157009204022297,18.518380078114653,0.6579841091443173,435,77,models/xgb_pm10_20260530_0829.pkl
20260531_0847,pm2_5,1.103313064024734,1.842930938317164,0.9395274316667677,436,77,models/xgb_pm2_5_20260531_0847.pkl
20260531_0847,pm10,6.828638300820001,18.350314852110174,0.6654833013064605,436,77,models/xgb_pm10_20260531_0847.pkl
20260601_1136,pm2_5,1.0936021391822404,1.8314978874759618,0.9395462023121187,436,78,models/xgb_pm2_5_20260601_1136.pkl
20260601_1136,pm10,6.7427458879954445,18.23231102591971,0.665909270858311,436,78,models/xgb_pm10_20260601_1136.pkl
20260602_1025,pm2_5,1.1421202222166575,1.8087483554364217,0.9409192094068632,437,78,models/xgb_pm2_5_20260602_1025.pkl
20260602_1025,pm10,6.935092327737402,18.09746230089933,0.6708473456832393,437,78,models/xgb_pm10_20260602_1025.pkl
20260603_1101,pm2_5,1.1453493349232906,1.7858156901493953,0.9419280569393385,438,78,models/xgb_pm2_5_20260603_1101.pkl
20260603_1101,pm10,6.98499129803432,18.18943462869257,0.6660081141936469,438,78,models/xgb_pm10_20260603_1101.pkl
20260604_0957,pm2_5,1.0861225261307847,1.8064179808197207,0.9408456040630098,439,78,models/xgb_pm2_5_20260604_0957.pkl
20260604_0957,pm10,6.945688415049147,18.276513441500157,0.6619621341428692,439,78,models/xgb_pm10_20260604_0957.pkl
20260605_0952,pm2_5,1.1245367990260107,1.839402886064519,0.9386622154728028,440,78,models/xgb_pm2_5_20260605_0952.pkl
20260605_0952,pm10,6.703513533437353,18.17828896589617,0.6664570891187542,440,78,models/xgb_pm10_20260605_0952.pkl
20260606_0835,pm2_5,1.1539260231191957,1.8344964316899937,0.9383353689613254,441,78,models/xgb_pm2_5_20260606_0835.pkl
20260606_0835,pm10,6.572290172739926,18.105579509682386,0.6682097552576707,441,78,models/xgb_pm10_20260606_0835.pkl
20260607_0857,pm2_5,1.107779115149778,1.7739485453786552,0.9423532753449196,442,78,models/xgb_pm2_5_20260607_0857.pkl
20260607_0857,pm10,6.716609551628092,18.429442717644665,0.6555518449670654,442,78,models/xgb_pm10_20260607_0857.pkl
20260608_1057,pm2_5,1.094720357849293,1.7627060803677457,0.9424391390861445,442,79,models/xgb_pm2_5_20260608_1057.pkl
20260608_1057,pm10,6.652915698130591,18.31341022362537,0.6558103913617203,442,79,models/xgb_pm10_20260608_1057.pkl
20260609_0945,pm2_5,1.152778649900198,1.874697831023998,0.9351382346943758,443,79,models/xgb_pm2_5_20260609_0945.pkl
20260609_0945,pm10,6.92030540605805,18.253005054846366,0.6568463127422278,443,79,models/xgb_pm10_20260609_0945.pkl
20260610_1002,pm2_5,1.0759691265229603,1.8082189292780404,0.9386003596346801,444,79,models/xgb_pm2_5_20260610_1002.pkl
20260610_1002,pm10,6.488634356835386,17.911473621876596,0.6639695634612676,444,79,models/xgb_pm10_20260610_1002.pkl
20260612_1015,pm2_5,1.0579215362269832,1.8767770787630749,0.9332628771255136,446,79,models/xgb_pm2_5_20260612_1015.pkl
20260612_1015,pm10,6.3112008090763645,17.060315586308153,0.6950545806926312,446,79,models/xgb_pm10_20260612_1015.pkl
20260613_0918,pm2_5,1.0336214937405912,1.8099403203504696,0.9381936949169514,447,79,models/xgb_pm2_5_20260613_0918.pkl
20260613_0918,pm10,6.198100421867961,17.322267400646428,0.6845682795936539,447,79,models/xgb_pm10_20260613_0918.pkl
20260614_0936,pm2_5,1.0407713662253486,1.8075287712712553,0.9388647811894002,447,80,models/xgb_pm2_5_20260614_0936.pkl
20260614_0936,pm10,6.181054713990954,17.222146618103213,0.6866459730326449,447,80,models/xgb_pm10_20260614_0936.pkl
20260615_1216,pm2_5,1.0983065989282395,1.809996113403415,0.9380045338939669,448,80,models/xgb_pm2_5_20260615_1216.pkl
20260615_1216,pm10,5.861565729247199,16.871372845726867,0.6953192112952262,448,80,models/xgb_pm10_20260615_1216.pkl
20260616_1112,pm2_5,0.9475466945436267,1.6362832737686033,0.9462362222201046,449,80,models/xgb_pm2_5_20260616_1112.pkl
20260616_1112,pm10,5.885008104112413,16.933971218161275,0.6873214614378869,449,80,models/xgb_pm10_20260616_1112.pkl
20260617_1058,pm2_5,0.9122159738010833,1.4195478408065985,0.9592675084686174,450,80,models/xgb_pm2_5_20260617_1058.pkl
20260617_1058,pm10,6.185504550404019,17.130489415461653,0.6799801213376531,450,80,models/xgb_pm10_20260617_1058.pkl
20260618_1022,pm2_5,0.9153377543555367,1.4129543722586666,0.9594299346107273,451,80,models/xgb_pm2_5_20260618_1022.pkl
20260618_1022,pm10,6.189133341577319,16.966230803449857,0.6849849861886904,451,80,models/xgb_pm10_20260618_1022.pkl
20260619_1027,pm2_5,0.9054456777042812,1.398453119869846,0.9602828471326413,452,80,models/xgb_pm2_5_20260619_1027.pkl
20260619_1027,pm10,6.384432251718309,17.105526749767996,0.6793066930835346,452,80,models/xgb_pm10_20260619_1027.pkl
20260620_0858,pm2_5,0.9519849962658352,1.4592534474428311,0.9566869529850868,453,80,models/xgb_pm2_5_20260620_0858.pkl
20260620_0858,pm10,6.124647707939148,16.861551543432732,0.6866480559767201,453,80,models/xgb_pm10_20260620_0858.pkl
20260621_0952,pm2_5,0.9436054554168744,1.4505354958523302,0.9570631489868808,453,81,models/xgb_pm2_5_20260621_0952.pkl
20260621_0952,pm10,6.063656426260991,16.75766135098154,0.6874785332140684,453,81,models/xgb_pm10_20260621_0952.pkl
20260622_1156,pm2_5,0.9075768281075853,1.4096733179231646,0.9594728449122188,454,81,models/xgb_pm2_5_20260622_1156.pkl
20260622_1156,pm10,6.086030091964659,16.889747687089258,0.6828135271914433,454,81,models/xgb_pm10_20260622_1156.pkl
20260623_0940,pm2_5,0.8371030535390508,1.3210054911278752,0.963641848765003,455,81,models/xgb_pm2_5_20260623_0940.pkl
20260623_0940,pm10,5.824813778410233,16.992288961897017,0.6738073485414329,455,81,models/xgb_pm10_20260623_0940.pkl
20260624_0931,pm2_5,0.8799644786798088,1.3565393304032654,0.9610201375901348,456,81,models/xgb_pm2_5_20260624_0931.pkl
20260624_0931,pm10,6.194152305613493,17.336394454522637,0.655409956532842,456,81,models/xgb_pm10_20260624_0931.pkl
20260625_0923,pm2_5,0.8657986796605407,1.3789056412248004,0.9598029037828683,457,81,models/xgb_pm2_5_20260625_0923.pkl
20260625_0923,pm10,5.918832604679061,16.910393627553532,0.668943073449733,457,81,models/xgb_pm10_20260625_0923.pkl
20260626_0928,pm2_5,0.8516188518173574,1.380790306225024,0.9597423720192554,458,81,models/xgb_pm2_5_20260626_0928.pkl
20260626_0928,pm10,6.032583515601558,16.87901280460775,0.6700417793900397,458,81,models/xgb_pm10_20260626_0928.pkl
